"Name","State","Notes","User","Tags","Created","Runtime","Sweep","callbacks.checkpoint._target_","callbacks.checkpoint.dirpath","callbacks.checkpoint.filename","callbacks.checkpoint.mode","callbacks.checkpoint.monitor","callbacks.checkpoint.save_last","callbacks.checkpoint.save_top_k","callbacks.early_stop._target_","callbacks.early_stop.mode","callbacks.early_stop.monitor","callbacks.early_stop.patience","callbacks.lr_monitor._target_","callbacks.lr_monitor.log_momentum","callbacks.lr_monitor.logging_interval","dataloader._target_","dataloader.batch_size","dataloader.dataset._target_","dataloader.dataset.batch_size","dataloader.dataset.batched","dataloader.dataset.load_from_cache_file","dataloader.dataset.multilabel","dataloader.dataset.num_data","dataloader.dataset.num_proc","dataloader.dataset.paths","dataloader.dataset.preprocess","dataloader.dataset.remove_deuce","dataloader.dataset.sampling_rate","dataloader.dataset.txt_max_length","dataloader.dataset.txt_processor","dataloader.dataset.validation_fold","dataloader.dataset.wav_max_length","dataloader.dataset.wav_processor","dataloader.dataset.writer_batch_size","dataloader.num_workers","dataset._target_","dataset.batch_size","dataset.batched","dataset.load_from_cache_file","dataset.multilabel","dataset.num_data","dataset.num_proc","dataset.paths","dataset.preprocess","dataset.remove_deuce","dataset.sampling_rate","dataset.txt_max_length","dataset.txt_processor","dataset.validation_fold","dataset.wav_max_length","dataset.wav_processor","dataset.writer_batch_size","logger._target_","logger.entity","logger.name","logger.project","misc.debug","misc.modes","misc.seed","model._target_","model.cls_coef","model.config.mlp_mixer.channels","model.config.mlp_mixer.depth","model.config.mlp_mixer.dim","model.config.mlp_mixer.num_classes","model.config.mlp_mixer.patch_size","model.config.txt","model.config.wav","model.criterions.cls._target_","model.criterions.reg._target_","model.use_peakl","module._recursive_","module._target_","module.load_from_checkpoint","module.separate_lr.mlp_mixer","module.separate_lr.txt_model","module.separate_lr.wav_model","optim._target_","optim.eps","optim.lr","optim.weight_decay","scheduler.frequency","scheduler.interval","scheduler.scheduler.T_0","scheduler.scheduler.T_mult","scheduler.scheduler._target_","scheduler.scheduler.eta_min","scheduler.strict","trainer._target_","trainer.accelerator","trainer.devices","trainer.gradient_clip_val","trainer.log_every_n_steps","trainer.max_epochs","epoch","epoch/train_acc","epoch/train_auroc","epoch/train_ccc(aro)","epoch/train_ccc(val)","epoch/train_cls_loss","epoch/train_loss","epoch/train_macrof1","epoch/train_microf1","epoch/train_reg_loss","epoch/valid_acc","epoch/valid_auroc","epoch/valid_ccc(aro)","epoch/valid_ccc(val)","epoch/valid_cls_loss","epoch/valid_loss","epoch/valid_macrof1","epoch/valid_microf1","epoch/valid_reg_loss","lr-AdamW/pg1","lr-AdamW/pg2","lr-AdamW/pg3","step/train_acc","step/train_auroc","step/train_ccc(aro)","step/train_ccc(val)","step/train_cls_loss","step/train_loss","step/train_macrof1","step/train_microf1","step/train_reg_loss","step/valid_acc","step/valid_auroc","step/valid_ccc(aro)","step/valid_ccc(val)","step/valid_cls_loss","step/valid_loss","step/valid_macrof1","step/valid_microf1","step/valid_reg_loss","trainer/global_step"
"Scratch | soft","finished","-","hoesungryu","","2023-04-12T16:17:54.000Z","13014","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-12/16-17-43","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","4","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","4","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Scratch | soft","RobertaL Final","false","[""train"",""valid""]","42","erc.model.mlp_mixer.MLP_Mixer_Roberta","0.7","1","12","512","9","16","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","false","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","7","0.8973158001899719","0.98499858379364","0.856850802898407","0.9258952140808104","0.19455894827842712","0.15759305655956268","0.7879036664962769","0.8973158001899719","0.07133939862251282","0.8580589890480042","0.9603340029716492","0.8125991821289062","0.837435781955719","0.3322291076183319","0.26622822880744934","0.6886908411979675","0.8580589890480042","0.1122262328863144","0.000009166314477058916","0.000009166314477058916","0.0000915873551775945","0.75","0.4285714626312256","0.7760030031204224","0.8609634041786194","0.45774778723716736","0.34970542788505554","0.27272728085517883","0.75","0.0976065993309021","0.5","0.1428571492433548","0.6061858534812927","0.7766305804252625","0.7678410410881042","0.5628814697265625","0.095238097012043","0.5","0.08464258909225464","18527"
"Scratch | peakl","finished","-","hoesungryu","","2023-04-12T14:46:52.000Z","29043","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-12/14-46-41","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","4","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","4","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Scratch | peakl","RobertaL Final","false","[""train"",""valid""]","42","erc.model.mlp_mixer.MLP_Mixer_Roberta","0.7","1","12","512","9","16","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","true","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","17","0.9451170563697816","0.9961087703704834","0.9297769069671632","0.9666842818260192","0.07529836893081665","0.06316431611776352","0.8839787840843201","0.9451170563697816","0.034851543605327606","0.8623343110084534","0.9655662178993224","0.8171611428260803","0.8393912315368652","0.2833503186702728","0.2324414849281311","0.6996662616729736","0.8623343110084534","0.11365413665771484","0.000007759940934453506","0.000007759940934453506","0.00007739576761130357","0.875","0.4285714626312256","0.8440649509429932","0.8077928423881531","0.07186451554298401","0.068712517619133","0.2747252881526947","0.875","0.06135784834623337","0.5","0.1428571492433548","0.8118377327919006","0.5032364130020142","0.5677266716957092","0.4304584264755249","0.095238097012043","0.5","0.11016584932804108","41687"
"Scratch | soft","finished","-","hoesungryu","","2023-04-12T07:34:44.000Z","25909","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-12/07-34-33","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","3","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","3","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Scratch | soft","RobertaL Final","false","[""train"",""valid""]","42","erc.model.mlp_mixer.MLP_Mixer_Roberta","0.7","1","12","512","9","16","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","false","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","15","0.928910195827484","0.992877960205078","0.9077390432357788","0.9552026391029358","0.14623746275901794","0.11552538722753523","0.8554465770721436","0.928910195827484","0.04386381432414055","0.8577489852905273","0.9623364210128784","0.7950186133384705","0.8613241910934448","0.35834693908691406","0.2867119610309601","0.7217345833778381","0.8577489852905273","0.11956366151571274","0.000009192840566815613","0.000009192840566815613","0.00009185502753786662","0.875","0.4285714626312256","0.7608559727668762","0.8790131211280823","0.0910053625702858","0.07711836695671082","0.4155844449996948","0.875","0.044715385884046555","1","0.2857142984867096","0.588259756565094","0.2137351930141449","0.8217048048973083","0.6213046312332153","0.2857142984867096","1","0.15370428562164307","37423"
"Concat | peakl","finished","-","hoesungryu","","2023-04-12T07:23:17.000Z","16866","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-12/07-23-05","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","4","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","4","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Concat | peakl","RobertaL Final","false","[""train"",""valid""]","42","erc.model.simple_concat.SimpleConcatRoberta","0.7","","","","","","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","true","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","10","0.9308966398239136","0.9904481768608092","0.6576471328735352","0.7953593134880066","0.22034034132957456","0.2017766535282135","0.8479306697845459","0.9308966398239136","0.1584613472223282","0.8529285788536072","0.9505090713500975","0.6048915982246399","0.7118579745292664","0.3175487816333771","0.2842157185077667","0.6723824143409729","0.8529285788536072","0.20643863081932068","0.0000032467761363129315","0.0000032467761363129315","","1","0.2857142984867096","0.6808556318283081","0.868664562702179","0.20055049657821655","0.1688954532146454","0.2857142984867096","1","0.0950336828827858","0.5","0.2857142984867096","0.6382805109024048","0.061736173927783966","0.8065177798271179","0.6350002884864807","0.095238097012043","0.5","0.23479285836219788","25475"
"Concat | peakl","finished","-","hoesungryu","","2023-04-12T01:22:43.000Z","21613","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-12/01-22-31","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","3","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","3","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Concat | peakl","RobertaL Final","false","[""train"",""valid""]","42","erc.model.simple_concat.SimpleConcatRoberta","0.7","","","","","","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","true","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","13","0.9390174746513368","0.9920188784599304","0.6996021866798401","0.8248489499092102","0.19719530642032623","0.17796184122562408","0.8667381405830383","0.9390174746513368","0.1330837458372116","0.8456900119781494","0.9490730166435242","0.6069391965866089","0.7193791270256042","0.3274320662021637","0.29275766015052795","0.7047694325447083","0.8456900119781494","0.21185073256492615","0.000009965745957312097","0.000009965745957312097","","1","0","0.6114459037780762","0.9339004755020142","0.1824697852134705","0.14919070899486542","0.1428571492433548","1","0.07153953611850739","1","0.2857142984867096","0.17820517718791962","0.2397448718547821","0.3920961618423462","0.3191659152507782","0.2857142984867096","1","0.1489953100681305","32745"
"Scratch | peakl","finished","-","hoesungryu","","2023-04-11T23:56:14.000Z","27490","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-11/23-56-02","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","3","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","3","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Scratch | peakl","RobertaL Final","false","[""train"",""valid""]","42","erc.model.mlp_mixer.MLP_Mixer_Roberta","0.7","1","12","512","9","16","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","true","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","16","0.9417278170585632","0.995567798614502","0.9209030866622924","0.960772693157196","0.07746101915836334","0.06575199216604233","0.8783141374588013","0.9417278170585632","0.03843094781041145","0.8606520891189575","0.963773548603058","0.7845174074172974","0.8538623452186584","0.28840145468711853","0.23961302638053897","0.7188833951950073","0.8606520891189575","0.12577341496944427","0.000008481132737766917","0.000008481132737766917","0.00008467324853564797","0.8571428656578064","0.4285714626312256","0.8721606135368347","0.9228033423423768","0.06685999780893326","0.05769999697804451","0.27272728085517883","0.8571428656578064","0.03632665425539017","0.75","0.2380952537059784","0.4272037148475647","0.056110262870788574","1.0272818803787231","0.7792274355888367","0.20952381193637848","0.75","0.2004336416721344","39762"
"Concat | peakl","finished","-","hoesungryu","","2023-04-11T18:26:14.000Z","24968","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-11/18-26-02","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","2","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","2","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Concat | peakl","RobertaL Final","false","[""train"",""valid""]","42","erc.model.simple_concat.SimpleConcatRoberta","0.7","","","","","","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","true","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","15","0.9367966055870056","0.9926339983940125","0.78485107421875","0.8748862743377686","0.1693248748779297","0.14789266884326935","0.8601452112197876","0.9367966055870056","0.09788418561220168","0.8060708045959473","0.9281470775604248","0.6809024214744568","0.784213125705719","0.35901814699172974","0.3006843626499176","0.6644467711448669","0.8060708045959473","0.16457216441631317","0.000008997030524286438","0.000008997030524286438","","1","0.5714285969734192","0.8792200088500977","0.968869924545288","0.16573366522789","0.13325341045856476","0.5714285969734192","1","0.05746615678071976","0.6666666865348816","0.37142857909202576","0.7988813519477844","0.6555394530296326","0.19815048575401303","0.1671040803194046","0.11428571492433548","0.6666666865348816","0.09466245025396348","38127"
"Scratch | soft","finished","-","hoesungryu","","2023-04-11T16:38:18.000Z","26254","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-11/16-38-07","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","2","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","2","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Scratch | soft","RobertaL Final","false","[""train"",""valid""]","42","erc.model.mlp_mixer.MLP_Mixer_Roberta","0.7","1","12","512","9","16","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","false","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","15","0.9334700703620912","0.9933682084083556","0.915217936038971","0.9545348286628724","0.14162875711917877","0.11209215223789216","0.85582435131073","0.9334700703620912","0.04317338019609451","0.8226933479309082","0.954395055770874","0.8307303786277771","0.8553586006164551","0.4273809790611267","0.33525800704956055","0.7029716968536377","0.8226933479309082","0.12030445784330368","0.000008997030524286438","0.000008997030524286438","0.00008987912619961768","1","0.4285714626312256","0.9817623496055604","0.8858054280281067","0.13644056022167206","0.10677626729011536","0.4285714626312256","1","0.03755960613489151","0.8333333134651184","0.4000000059604645","0.8498018980026245","0.6491745114326477","0.28325268626213074","0.23899370431900024","0.2698412835597992","0.8333333134651184","0.13572274148464203","38127"
"Concat | peakl","finished","-","hoesungryu","","2023-04-11T14:35:20.000Z","13834","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-11/14-35-08","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","1","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","1","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Concat | peakl","RobertaL Final","false","[""train"",""valid""]","42","erc.model.simple_concat.SimpleConcatRoberta","0.7","","","","","","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","true","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","8","0.9061486721038818","0.9827511310577391","0.5541954636573792","0.7115100026130676","0.2662372291088104","0.25142768025398254","0.8084431886672974","0.9061486721038818","0.21687206625938416","0.8365530967712402","0.9340268969535828","0.5963547229766846","0.6520981788635254","0.3596303164958954","0.3194564878940582","0.666199266910553","0.8365530967712402","0.22571758925914764","0.000007553842467594081","0.000007553842467594081","","1","0.2857142984867096","0.5916886925697327","0.6899285316467285","0.1445019692182541","0.13300251960754397","0.2857142984867096","1","0.10617049038410188","1","0","NaN","NaN","0.05250117555260658","0.03838454931974411","0.1428571492433548","1","0.0054457588121294975","20897"
"Scratch | peakl","finished","-","hoesungryu","","2023-04-11T08:53:53.000Z","27845","","pytorch_lightning.callbacks.ModelCheckpoint","outputs/2023-04-11/08-26-31","{step}-valid_acc{epoch/valid_acc:.3f}","max","epoch/valid_acc","false","1","pytorch_lightning.callbacks.early_stopping.EarlyStopping","max","epoch/valid_acc","5","pytorch_lightning.callbacks.LearningRateMonitor","false","step","torch.utils.data.DataLoader","8","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","2","112000","kresnik/wav2vec2-large-xlsr-korean","1000","4","erc.datasets.HF_KEMD","1000","true","true","true","false","1","kemdy19-kemdy20","true","false","16000","64","klue/roberta-large","2","112000","kresnik/wav2vec2-large-xlsr-korean","1000","pytorch_lightning.loggers.WandbLogger","etri-erc","Scratch | peakl","RobertaL Final","false","[""train"",""valid""]","42","erc.model.mlp_mixer.MLP_Mixer_Roberta","0.7","1","12","512","9","16","klue/roberta-large","kresnik/wav2vec2-large-xlsr-korean","erc.optims.FocalLoss","torch.nn.MSELoss","true","false","erc.trainer.ERCModule","","0.0001","0.00001","0.00001","torch.optim.AdamW","1e-8","0.00001","0.000001","1","step","500","2","torch.optim.lr_scheduler.CosineAnnealingWarmRestarts","1e-7","false","pytorch_lightning.Trainer","gpu","1","1","100","30","16","0.94832843542099","0.9959672689437866","0.9304909110069276","0.9617595672607422","0.07348187267780304","0.062304653227329254","0.89040207862854","0.94832843542099","0.03622448816895485","0.8214887976646423","0.9571363925933838","0.826701819896698","0.8701672554016113","0.35215163230895996","0.28113797307014465","0.6886798143386841","0.8214887976646423","0.11543949693441392","0.00000819062239758893","0.00000819062239758893","0.00008174173510294283","1","0.7142857313156128","0.9853563904762268","0.9400103092193604","0.13028602302074432","0.10748004913330078","0.7142857313156128","1","0.05426609143614769","0.6666666865348816","0.32500001788139343","0.8487904667854309","0.6789853572845459","0.38143613934516907","0.3000921607017517","0.11428571492433548","0.6666666865348816","0.1102895587682724","40510"
